City,2022 Pop,Latitude,Longitude
New York,"8,335,897",40.66,73.94
Los Angeles,"3,822,238",34.02,118.41
Chicago,"2,665,039",41.84,87.68
Houston,"2,302,878",29.79,95.39
Phoenix,"1,644,409",33.57,112.09
Philadelphia,"1,567,258",40.01,75.13
San Antonio,"1,472,909",29.46,98.52
San Diego,"1,381,162",32.81,117.14
Dallas,"1,299,544",32.79,96.77
Austin,"974,447",30.30,97.75
Jacksonville,"971,319",30.34,81.66
San Jose,"971,233",37.30,121.81
Fort Worth,"956,709",32.78,97.35
Columbus,"907,971",39.99,82.99
Charlotte,"897,720",35.21,80.83
Indianapolis,"880,621",39.78,86.15
San Francisco,"808,437",37.73,123.03
Seattle,"749,256",47.62,122.35
Denver,"713,252",39.76,104.88
Oklahoma City,"694,800",35.47,97.51
Nashville,"683,622",36.17,86.79
El Paso,"677,456",31.85,106.43
Washington,"671,803",38.90,77.02
Las Vegas,"656,274",36.23,115.26
Boston,"650,706",42.34,71.02
Portland,"635,067",45.54,122.65
Louisville,"624,444",38.17,85.65
Memphis,"621,056",35.11,89.97
Detroit,"620,376",42.38,83.10
Baltimore,"569,931",39.30,76.61
Milwaukee,"563,305",43.06,87.97
Albuquerque,"561,008",35.10,106.65
Tucson,"546,574",32.15,110.87
Fresno,"545,567",36.78,119.79
Sacramento,"528,001",38.57,121.47
Mesa,"512,498",33.40,111.72
Kansas City,"509,297",39.12,94.56
Atlanta,"499,127",33.76,84.42
Colorado Springs,"486,248",38.87,104.76
Omaha,"485,153",41.26,96.05
Raleigh,"476,587",35.83,78.64
Virginia Beach,"455,618",36.78,76.03
Long Beach,"451,307",33.78,118.17
Miami,"449,514",25.78,80.21
Oakland,"430,553",37.77,122.23
Minneapolis,"425,096",44.96,93.27
Tulsa,"411,867",36.13,95.90
Bakersfield,"410,647",35.35,119.04
Tampa,"398,173",27.97,82.47
Wichita,"396,192",37.69,97.35
Arlington,"394,602",32.70,97.12
Aurora,"393,537",39.70,104.72
New Orleans,"369,749",30.05,89.93
Cleveland,"361,607",41.48,81.68
Anaheim,"344,461",33.86,117.76
Honolulu,"343,421",21.32,157.85
Henderson,"331,415",36.01,115.04
Stockton,"321,819",37.98,121.31
Riverside,"320,764",33.94,117.39
Lexington,"320,347",38.04,84.46
Corpus Christi,"316,239",27.75,97.17
Orlando,"316,081",28.41,81.25
Irvine,"313,685",33.68,117.77
Cincinnati,"309,513",39.14,84.51
Santa Ana,"308,189",33.74,117.88
Newark,"305,344",40.72,74.17
Saint Paul,"303,176",44.95,93.10
Pittsburgh,"302,898",40.44,79.98
Greensboro,"301,115",36.10,79.83
Lincoln,"292,627",40.81,96.68
Durham,"291,928",35.98,78.90
Plano,"289,547",33.05,96.75
Anchorage,"287,145",61.17,149.28
Jersey City,"286,670",40.71,74.06
St. Louis,"286,578",38.64,90.24
Chandler,"280,711",33.28,111.85
North Las Vegas,"280,543",36.28,115.09
Chula Vista,"279,170",32.63,117.02
Buffalo,"276,486",42.89,78.86
Gilbert,"275,346",33.31,111.74
Reno,"273,448",39.55,119.85
Madison,"272,903",43.09,89.43
Fort Wayne,"267,927",41.09,85.14
Toledo,"266,301",41.66,83.58
Lubbock,"263,930",33.57,101.89
St. Petersburg,"261,256",27.77,82.64
Laredo,"256,187",27.56,99.49
Irving,"254,715",32.86,96.97
Chesapeake,"252,488",36.68,76.30
Glendale,"252,136",33.53,112.19
Winston-Salem,"251,350",36.10,80.26
Scottsdale,"243,050",33.68,111.86
Garland,"240,854",32.91,96.63
Boise,"236,634",43.60,116.23
Norfolk,"232,995",36.92,76.24
Port St. Lucie,"231,790",27.28,80.39
Spokane,"230,160",47.67,117.43
Richmond,"229,395",37.53,77.48
Fremont,"223,871",37.49,121.94
Huntsville,"221,933",34.78,86.53
Tacoma,"221,776",47.25,122.46
Baton Rouge,"221,453",30.44,91.13
Santa Clarita,"221,345",34.41,118.49
San Bernardino,"220,328",34.14,117.29
Hialeah,"220,292",25.87,80.30
Frisco,"219,587",33.16,96.82
Modesto,"218,069",37.64,121.00
Cape Coral,"216,992",26.65,81.99
Fontana,"212,475",34.11,117.46
Moreno Valley,"211,924",33.92,117.21
Des Moines,"211,034",41.57,93.61
Rochester,"209,352",43.17,77.62
Fayetteville,"208,873",35.08,78.97
Yonkers,"208,121",40.95,73.87
McKinney,"207,507",33.20,96.66
Worcester,"205,319",42.27,71.81
Salt Lake City,"204,657",40.78,111.93
Little Rock,"202,864",34.72,92.36
Columbus,"202,616",32.51,84.87
Augusta,"202,096",33.37,82.07
Sioux Falls,"202,078",43.54,96.73
Grand Prairie,"201,843",32.69,97.02
Tallahassee,"201,731",30.46,84.25
Amarillo,"201,291",35.20,101.83
Oxnard,"200,415",34.20,119.21
Peoria,"197,866",33.79,112.31
Overland Park,"197,726",38.89,94.69
Montgomery,"196,986",32.35,86.27
Birmingham,"196,910",33.53,86.80
Grand Rapids,"196,908",42.96,85.66
Knoxville,"195,889",35.97,83.95
Vancouver,"194,512",45.64,122.60
Huntington Beach,"194,310",33.70,118.00
Providence,"189,563",41.82,71.42
Brownsville,"189,382",26.00,97.45
Glendale,"189,221",34.18,118.25
Akron,"188,509",41.08,81.52
Tempe,"185,950",33.39,111.93
Newport News,"184,306",37.08,76.52
Chattanooga,"184,086",35.07,85.25
Mobile,"183,289",30.67,88.10
Fort Lauderdale,"183,146",26.14,80.15
Cary,"180,388",35.78,78.82
Shreveport,"180,153",32.47,93.79
Ontario,"179,061",34.04,117.60
Eugene,"177,923",44.06,123.12
Aurora,"177,866",41.76,88.29
Elk Grove,"177,558",38.41,121.38
Salem,"177,487",44.92,123.02
Santa Rosa,"177,181",38.45,122.71
Clarksville,"176,974",36.57,87.35
Rancho Cucamonga,"176,336",34.12,117.56
Oceanside,"172,199",33.22,117.31
Springfield,"170,067",37.19,93.29
Pembroke Pines,"169,876",26.01,80.34
Garden Grove,"169,254",33.78,117.96
Fort Collins,"169,249",40.55,105.06
Lancaster,"169,185",34.69,118.18
