"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-01",,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-02",,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-03",,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-04",,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-05",,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-06",,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","30.455636","-97.769188","271.9","2024-05-07",,,,,,,,
"US1TXWM0046","BRUSHY CREEK 2.4 SW, TX US","30.485942","-97.764397","267.0","2024-05-02",,,,,,,,
"US1TXWM0046","BRUSHY CREEK 2.4 SW, TX US","30.485942","-97.764397","267.0","2024-05-03",,,,,,,,
"US1TXWM0046","BRUSHY CREEK 2.4 SW, TX US","30.485942","-97.764397","267.0","2024-05-04",,,,,,,,
"US1TXWM0046","BRUSHY CREEK 2.4 SW, TX US","30.485942","-97.764397","267.0","2024-05-05",,,,,,,,
"US1TXWM0046","BRUSHY CREEK 2.4 SW, TX US","30.485942","-97.764397","267.0","2024-05-06",,,,,,,,
"US1TXWM0046","BRUSHY CREEK 2.4 SW, TX US","30.485942","-97.764397","267.0","2024-05-07",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-01",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-02",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-03",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-04",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-05",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-06",,,,,,,,
"US1TXTV0218","ONION CREEK 3.2 ENE, TX US","30.1589279174805","-97.7373046875","169.8","2024-05-07",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-01",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-02",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-03",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-04",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-05",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-06",,,,,,,,
"US1TXHYS277","BUDA 2.0 NW, TX US","30.104453","-97.865403","231.6","2024-05-07",,,,,,,,
"US1TXTV0065","LOST CREEK 2.7 NW, TX US","30.325904","-97.871086","227.7","2024-05-01",,,,,,,,
"US1TXTV0065","LOST CREEK 2.7 NW, TX US","30.325904","-97.871086","227.7","2024-05-02",,,,,,,,
"US1TXTV0065","LOST CREEK 2.7 NW, TX US","30.325904","-97.871086","227.7","2024-05-03",,,,,,,,
"US1TXTV0065","LOST CREEK 2.7 NW, TX US","30.325904","-97.871086","227.7","2024-05-04",,,,,,,,
